Sales_Trend,Sales_Diff,Amount
inf,-0.0056076352796997,647.62
-0.3730891572218276,-241.62,406.0
-0.1896551724137931,-77.0,329.0
1.2897568389057752,424.33,753.33
-0.2380497258837428,-179.33000000000004,574.0
0.4355400696864111,250.0,824.0
-0.2075242718446601,-171.0,653.0
-0.3889739663093414,-254.0,399.0
0.5670314166265582,226.24553523399675,625.2455352339967
-0.4194280813790249,-262.24553523399675,363.0
0.8870523415977962,322.0,685.0
-0.4686131386861314,-321.0,364.0
0.0961538461538462,35.0,399.0
0.6466165413533835,258.0,657.0
0.1735159817351599,114.0,771.0
-0.2944228274967574,-227.0,544.0
-0.3952205882352941,-215.0,329.0
0.2127659574468086,70.0,399.0
0.1478696741854637,59.0,458.0
0.9344978165938864,428.0,886.0
-0.4164785553047404,-369.0,517.0
0.2882011605415862,149.0,666.0
-0.4354354354354354,-290.0,376.0
0.5172340425531916,194.48,570.48
-0.1252979946711541,-71.48000000000002,499.0
0.1663326653306613,83.0,582.0
-0.4862542955326461,-283.0,299.0
0.5351170568561874,160.0,459.0
-0.130718954248366,-60.0,399.0
0.5670314166265582,226.24553523399675,625.2455352339967
0.2651029962236675,165.75446476600325,791.0
-0.3691529709228824,-292.0,499.0
1.470941883767535,734.0,1233.0
-0.5806974858069749,-716.0,517.0
-0.2727272727272727,-141.0,376.0
0.3271276595744681,123.0,499.0
0.3346693386773547,167.0,666.0
-0.2687687687687687,-179.0,487.0
-0.24435318275154,-119.0,368.0
0.0842391304347827,31.0,399.0
0.7518796992481203,300.0,699.0
0.2660944206008584,186.0,885.0
-0.5209039548022598,-461.0,424.0
1.6556603773584904,702.0,1126.0
-0.300177619893428,-338.0,788.0
-0.0368020304568528,-29.0,759.0
0.5098814229249011,387.0,1146.0
-0.4197207678883071,-481.0,665.0
-0.3548872180451128,-236.0,429.0
-0.0699300699300699,-30.0,399.0
1.12531328320802,449.0,848.0
-0.2287735849056603,-194.0,654.0
0.5795107033639144,379.0,1033.0
-0.622458857696031,-643.0,390.0
0.264102564102564,103.0,493.0
0.462474645030426,228.0,721.0
-0.1719833564493759,-124.0,597.0
-0.3316582914572864,-198.0,399.0
1.225563909774436,489.0,888.0
-0.6024774774774775,-535.0,353.0
0.6968838526912182,246.0,599.0
-0.1352253756260434,-81.0,518.0
-0.4305019305019305,-223.0,295.0
1.8881355932203392,557.0,852.0
-0.0328638497652582,-28.0,824.0
-0.2412068747160233,-198.75446476600325,625.2455352339967
0.4538288540674005,283.75446476600325,909.0
-0.5247524752475248,-477.0,432.0
0.2615740740740742,113.0,545.0
1.1027522935779817,601.0,1146.0
-0.3926701570680628,-450.0,696.0
-0.3793103448275862,-264.0,432.0
0.4606481481481481,199.0,631.0
-0.4992076069730586,-315.0,316.0
0.1455696202531646,46.0,362.0
-0.0911602209944751,-33.0,329.0
0.2127659574468086,70.0,399.0
0.8822055137844611,352.0,751.0
0.0532623169107855,40.0,791.0
-0.1352718078381795,-107.0,684.0
0.8728070175438596,597.0,1281.0
-0.0741608118657298,-95.0,1186.0
-0.5792580101180438,-687.0,499.0
1.215150300601202,606.3599999999999,1105.36
-0.4343512202051849,-480.1144647660032,625.2455352339967
-0.3970368779060396,-248.24553523399675,377.0
0.973474801061008,367.0,744.0
0.0,0.0,744.0
0.1545698924731182,115.0,859.0
-0.4330616996507567,-372.0,487.0
0.6940451745379876,338.0,825.0
-0.1757575757575757,-145.0,680.0
0.0661764705882352,45.0,725.0
-0.04,-29.0,696.0
-0.2830459770114942,-197.0,499.0
0.2529970645971879,126.24553523399676,625.2455352339967
0.113162686942696,70.75446476600325,696.0
-0.4166666666666666,-290.0,406.0
1.0985221674876846,446.0,852.0
-0.5316901408450705,-453.0,399.0
0.0827067669172931,33.0,432.0
0.4473276278564739,193.24553523399675,625.2455352339967
1.139959303346735,712.7544647660033,1338.0
-0.6472346786248131,-866.0,472.0
0.6694915254237288,316.0,788.0
0.0558375634517767,44.0,832.0
-0.5204326923076923,-433.0,399.0
0.5012531328320802,200.0,599.0
0.1552587646076795,93.0,692.0
-0.2514450867052022,-174.0,518.0
0.5212355212355213,270.0,788.0
-0.5964467005076142,-470.0,318.0
0.8773584905660377,279.0,597.0
0.4874371859296482,291.0,888.0
-0.5427927927927928,-482.0,406.0
1.9211822660098523,780.0,1186.0
-0.3330522765598651,-395.0,791.0
0.0202275600505688,16.0,807.0
0.0,0.0,807.0
-0.6146220570012392,-496.0,311.0
0.2443729903536977,76.0,387.0
-0.1007751937984495,-39.0,348.0
0.7155172413793103,249.0,597.0
-0.0804020100502512,-48.0,549.0
0.1566484517304189,86.0,635.0
-0.0598425196850394,-38.0,597.0
0.323283082077052,193.0,790.0
-0.5253164556962026,-415.0,375.0
1.9733333333333327,740.0,1115.0
-0.4807174887892377,-536.0,579.0
0.3609671848013818,209.0,788.0
-0.2423857868020305,-191.0,597.0
0.0473124543283027,28.245535233996748,625.2455352339967
-0.1731248431761869,-108.24553523399676,517.0
-0.1450676982591876,-75.0,442.0
-0.0972850678733031,-43.0,399.0
0.2982456140350877,119.0,518.0
-0.3281853281853282,-170.0,348.0
1.264367816091954,440.0,788.0
-0.2065411989416284,-162.75446476600325,625.2455352339967
-0.0451751090448425,-28.245535233996748,597.0
0.1658291457286431,99.0,696.0
-0.4784482758620689,-333.0,363.0
-0.1763085399449036,-64.0,299.0
1.3076923076923077,391.0,690.0
-0.1681159420289855,-116.0,574.0
1.4372822299651569,825.0,1399.0
-0.2859185132237312,-400.0,999.0
0.0,0.0,999.0
-0.5125125125125125,-512.0,487.0
-0.2279260780287474,-111.0,376.0
1.9654255319148937,739.0,1115.0
-0.536322869955157,-598.0,517.0
1.1779497098646037,609.0,1126.0
-0.3561278863232682,-401.0,725.0
-0.1375923651944872,-99.75446476600324,625.2455352339967
0.1531469788587411,95.75446476600324,721.0
-0.0762829403606102,-55.0,666.0
-0.2552552552552553,-170.0,496.0
-0.2883064516129032,-143.0,353.0
0.1303116147308782,46.0,399.0
0.1478696741854637,59.0,458.0
1.4344978165938866,657.0,1115.0
-0.242152466367713,-270.0,845.0
-0.527810650887574,-446.0,399.0
0.5670314166265582,226.24553523399675,625.2455352339967
-0.1731248431761869,-108.24553523399676,517.0
0.0,0.0,517.0
0.1586073500967117,82.0,599.0
-0.1869782971619366,-112.0,487.0
0.0,0.0,487.0
0.1663244353182751,81.0,568.0
-0.2975352112676056,-169.0,399.0
-0.2606516290726817,-104.0,295.0
0.6406779661016948,189.0,484.0
0.2933884297520661,142.0,626.0
-0.1006389776357827,-63.0,563.0
-0.3126110124333925,-176.0,387.0
0.1984754521963825,76.81,463.81
0.1039003040037946,48.19,512.0
1.171875,600.0,1112.0
-0.4370503597122301,-486.0,626.0
-0.3993610223642172,-250.0,376.0
1.2845744680851063,483.0,859.0
-0.3050058207217695,-262.0,597.0
-0.4489112227805695,-268.0,329.0
0.7720364741641337,254.0,583.0
0.1406518010291595,82.0,665.0
-0.1248120300751879,-83.0,582.0
0.9347079037800688,544.0,1126.0
-0.5257548845470692,-592.0,534.0
-0.4026217228464419,-215.0,319.0
0.1536050156739812,49.0,368.0
0.6222826086956521,229.0,597.0
0.0954773869346734,57.0,654.0
0.2155963302752293,141.0,795.0
-0.0641509433962264,-51.0,744.0
-0.0698924731182796,-52.0,692.0
-0.1864161849710982,-129.0,563.0
-0.0319715808170515,-18.0,545.0
0.8330275229357798,454.0,999.0
-0.3453453453453453,-345.0,654.0
-0.1009174311926605,-66.0,588.0
-0.1547619047619047,-91.0,497.0
0.0402414486921529,20.0,517.0
0.2093724085763959,108.24553523399676,625.2455352339967
0.7832994194556124,489.75446476600325,1115.0
-0.4780269058295964,-533.0,582.0
-0.2285223367697594,-133.0,449.0
-0.1648106904231625,-74.0,375.0
1.056,396.0,771.0
-0.4824902723735408,-372.0,399.0
-1.0,-399.0,0.0
inf,654.0,654.0
-0.3516819571865444,-230.0,424.0
0.4746356963065961,201.24553523399675,625.2455352339967
-0.3090714356907403,-193.24553523399675,432.0
-0.0763888888888888,-33.0,399.0
0.0,0.0,399.0
